drug,label
COc1ccc2oc(c3ccc(OC)c(OC)c3)c(OC)c(=O)c2c1,False
CN(C)c1ccc2c(c3ccc(C(=S)N4CCCCC4)s3)c3-c(cc(=[N+](C)C)cc3)sc2c1,False
COc1ccc(c2oc3cc(O)ccc3c(=O)c2O)cc1OC,False
Cc1c(C(=O)c2ccccc2)c(=O)n(c2ccccc2)n1CC(O)C[NH2+]C(C)C,False
CCC[NH2+]CC(O)Cn1c(C)c(C(=O)c2ccccc2)c(=O)n1c1ccccc1,False
Cc1c(C(=O)c2ccccc2)c(=O)n(C)n1CC(O)C[NH+](C(C)C)C(C)C,False
COc1cc(c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc(OC)c1OC,False
COc1ccc(c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,False
CCCNC(=C1C(=O)N(c2ccccc2)N=C1C)CCc1ccccc1,False
CC1=NN(c2ccccc2)C(=O)C1=C(c1ccccc1)N1CCN(c2ccccc2C)CC1,False
COc1ccc2c(c1)CC(=O)C(c1ccccc1)O2,False
COc1ccc2oc(c3ccccc3)cc(=O)c2c1,False
COc1ccc2c(=O)cc(c3ccc(OC)c(OC)c3)oc2c1,False
CC(C)c1c(C(=O)Nc2ccccc2)c(c2ccccc2)c(c2ccc(F)cc2)n1CCC1CC(O)CC(=O)O1,False
COc1cccc(CCc2ccccc2OCc2cccnc2)c1,False
COc1ccc(CCC[NH+]2CCC(Cc3ccccc3)CC2)cc1OC,False
Cc1ccccc1N1CC[NH+](CC(O)Cn2c(C)c(C(=O)c3ccccc3)c(=O)n2c2ccccc2)CC1,False
Clc1ccc2c(c1)CCc1cccnc1C2=C1CC[NH2+]CC1,False
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,False
COc1cc(OC)c2c(c1C)OC(c1ccccc1)CC2=O,False
CCOC(=O)C1=C(C)NC(=C(C(=O)OC)C1c1cccc(Cl)c1Cl)C,False
CCCCCCCC1OC(=O)CC(O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C1C,False
CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,False
COCCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,False
C[NH+]1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,False
COc1cc2oc(c3ccc(O)cc3)c(OC)c(=O)c2c(O)c1OC,False
COc1cc(O)c2c(=O)c(OC)c(c3ccc(OC)c(OC)c3)oc2c1,False
