drug,label,smiles,clean_smiles_pH
mbcd0001299,True,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C(C=C1)N(C)C,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC12C
mbcd0003915,True,CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C,CC(CN1c2ccccc2Sc2ccccc12)[NH+](C)C
mbcd0022530,True,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
mbcd0030524,True,COC1=C(O)C=C(C=C1)[C@H]1CC2=C(C(=O)O1)C(O)=CC=C2,COc1ccc(C2Cc3cccc(O)c3C(=O)O2)cc1O
mbcd0001539,True,CN(C)CCC=C1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,C[NH+](C)CCC=C1c2ccccc2Sc2ccc(Cl)cc12
mbcd0030237,True,CS(O)(=O)=O.CC1=CC=NC=C1NC1=NC=CC=C1C(=O)NC1=CC=C(C=C1)C1(CCCC1)C#N,Cc1ccncc1Nc1ncccc1C(=O)Nc1ccc(C2(C#N)CCCC2)cc1
mbcd0000594,True,OC(=O)C=CC(O)=O.OC(=O)C=CC(O)=O.OC(=O)C=CC(O)=O.OC(COC1=CC=CC2=NC=CC=C12)CN1CCN(CC1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1.OC(COC1=CC=CC2=NC=CC=C12)CN1CCN(CC1)C(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,O=C(C(c1ccccc1)c1ccccc1)N1CC[NH+](CC(O)COc2cccc3ncccc23)CC1
mbcd0009421,True,CCOC1=C(O[C@@H]([C@H]2CNCCO2)C2=CC=CC=C2)C=CC=C1,CCOc1ccccc1OC(c1ccccc1)C1C[NH2+]CCO1
mbcd0009851,True,CN(C)CCC=C1/C2=C(COC3=C1C=CC=C3)C=CC=C2,C[NH+](C)CCC=C1c2ccccc2COc2ccccc12
mbcd0028592,True,OC1=C2C=COC2=CC2=C1C=CC(=O)O2,O=c1ccc2c(O)c3ccoc3cc2o1
mbcd0000659,True,Cl.Cl.Cl.CC1CC(C)OP(=O)(O1)C1=C(C)N=C(C)C(C(=O)OCCN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=CC=C2)=C1C1=CC=CC(=C1)[N+]([O-])=O,Cc1nc(C)c(P2(=O)OC(C)CC(C)O2)c(c2cccc([N+](=O)[O-])c2)c1C(=O)OCC[NH+]1CC[NH+](C(c2ccccc2)c2ccccc2)CC1
mbcd0000332,True,ClC1=CC=C(CC2=NN(C3CCCNCC3)C(=O)C3=CC=CC=C23)C=C1,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCC[NH2+]CC1
mbcd0000475,True,CC1(C)CNC(NN=C(C=CC2=CC=C(C=C2)C(F)(F)F)C=CC2=CC=C(C=C2)C(F)(F)F)=NC1,CC1(C)C[NH+]=C(NN=C(C=Cc2ccc(C(F)(F)F)cc2)C=Cc2ccc(C(F)(F)F)cc2)NC1
mbcd0000499,True,O=C(N[C@@H](CCC1=CC=CC=C1)C=CS(=O)(=O)C1=CC=CC=C1)[C@@H](NC(=O)N1CCOCC1)CC1=CC=CC=C1,O=C(NC(C=CS(=O)(=O)c1ccccc1)CCc1ccccc1)C(Cc1ccccc1)NC(=O)N1CCOCC1
mbcd0016232,True,ClC1=CC2=C(NC3=C(C=CC=C3)C(=N2)N2CCNCC2)C=C1,Clc1ccc2c(c1)[NH+]=C(N1CC[NH2+]CC1)c1ccccc1N2
mbcd0002995,True,CNCCCN1C2=CC=CC=C2CCC2=C1C=CC=C2,C[NH2+]CCCN1c2ccccc2CCc2ccccc12
mbcd0002576,True,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,COC(=O)C1=C(C)NC(=C(C(=O)OCC[NH+](C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1)C
mbcd0003142,True,C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,CC(CS)C(=O)N1CCCC1C(=O)[O-]
mbcd0002337,False,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,CC(C)(C)c1ccc(C(O)CCC[NH+]2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
mbcd0003000,True,ClC1=CC=C2OC(=O)NC2=C1,O=c1[nH]c2cc(Cl)ccc2o1
mbcd0000099,True,COC1=CC=C2C(=O)C=C(OC2=C1)C1=CC(OC)=C(OC)C=C1,COc1ccc2c(=O)cc(c3ccc(OC)c(OC)c3)oc2c1
mbcd0000293,True,O[C@H](COC1=C2C=CC=NC2=CC=C1)CN1CCN(CC1)C1C2=C(CCC3=C1C=CC=C3)C=CC=C2,OC(COc1cccc2ncccc12)C[NH+]1CC[NH+](C2c3ccccc3CCc3ccccc23)CC1
mbcd0029344,True,COC1=CC=CC(=C1OC)C1=C(OC)C(=O)C2=C(OC)C(OC)=C(OC)C(OC)=C2O1,COc1cccc(c2oc3c(OC)c(OC)c(OC)c(OC)c3c(=O)c2OC)c1OC
mbcd0022796,True,COC1=C2C=CC(=O)OC2=CC2=C1C=CO2,COc1c2ccoc2cc2oc(=O)ccc12
mbcd0003154,False,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(O)=O,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)[O-])cc1
mbcd0000046,False,CCCCCCCCCCCCCCCC(=O)OC(CO)CO,CCCCCCCCCCCCCCCC(=O)OC(CO)CO
mbcd0024448,True,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1,CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1
mbcd0003975,False,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]2(O)C(=O)C[C@@](C)(O[C@]12C)C=C,C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(=O)C)C(O)C1C(C)(C)CCC(O)C21C
mbcd0000680,False,O=C=NCCC1=CC=CC=C1,O=C=NCCc1ccccc1
mbcd0012513,True,COC(=O)NC1=NC2=CC=C(C=C2N1)C(=O)C1=CC=CC=C1,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
mbcd0025844,True,COC1=CC=CC2=C1C(=O)C1=C(C(O)=C3C[C@](O)(C[C@H](O[C@H]4C[C@H](N)[C@H](O)[C@H](C)O4)C3=C1O)C(=O)CO)C2=O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC([NH3+])C(O)C(C)O1
mbcd0003058,True,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO
mbcd0000063,True,COC1=C(OC)C=C(C=C1)C1=C(O)C(=O)C2=CC=C(O)C=C2O1,COc1ccc(c2oc3cc(O)ccc3c(=O)c2O)cc1OC
mbcd0000082,True,CCCOC1=C(OCCC)C(OC)=C2C(=O)C=C(OC2=C1)C1=CC=CC=C1,CCCOc1cc2oc(c3ccccc3)cc(=O)c2c(OC)c1OCCC
