drug,label,smiles,clean_smiles_pH
mbcd0001299,False,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@H](C[C@]12C)C1=CC=C(C=C1)N(C)C,"('CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC12C', 'CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C')"
mbcd0003069,False,CN1N(C(=O)C=C1C)C1=CC=CC=C1,"('Cc1cc(=O)n(c2ccccc2)n1C', 'Cc1cc(=O)n(-c2ccccc2)n1C')"
mbcd0003915,False,CC(CN1C2=C(SC3=C1C=CC=C3)C=CC=C2)N(C)C,"('CC(CN1c2ccccc2Sc2ccccc12)[NH+](C)C', 'CC(CN1c2ccccc2Sc2ccccc21)N(C)C')"
mbcd0022530,False,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,"('C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1')"
mbcd0013986,True,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,"('Nc1nnc(c2cccc(Cl)c2Cl)c(N)n1', 'Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1')"
mbcd0030699,False,COC1=C(OC)C(OC)=C2NC(=CC2=C1)C(=O)N1CC(CCl)C2=C1C=C(NCCN)C=C2,"('COc1cc2cc(C(=O)N3CC(CCl)c4ccc(NCC[NH3+])cc34)[nH]c2c(OC)c1OC', 'COc1cc2cc(C(=O)N3CC(CCl)c4ccc(NCCN)cc43)[nH]c2c(OC)c1OC')"
mbcd0030805,True,C1OC2=C(O1)C=C1C(=C2)C=[N+]2CCC3=C2C1=CC=C3,"('c1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4', 'c1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4')"
mbcd0030821,True,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1[C@H](CC2)NC(=O)C1=CC(OC)=C(OC)C(OC)=C1,"('COc1cc(C(=O)NC2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(OC)c(=O)cc23)cc(OC)c1OC', 'COc1cc(C(=O)N[C@H]2CCc3cc(OC)c(OC)c(OC)c3-c3ccc(OC)c(=O)cc32)cc(OC)c1OC')"
mbcd0031100,False,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)NC3=CC=CC(=C3)C(O)=O)=C(N2C1=O)C(O)=O,"('CC(O)C1C(=O)N2C(=C(SC3C[NH2+]C(C(=O)Nc4cccc(C(=O)[O-])c4)C3)C(C)C12)C(=O)[O-]', 'C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12')"
mbcd0001539,False,CN(C)CCC=C1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,"('C[NH+](C)CCC=C1c2ccccc2Sc2ccc(Cl)cc12', 'CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21')"
mbcd0030460,False,CNC(=O)C[N]1(CC(O)=C)CC[N]2(CC(O)=O)CC[N](CC(O)=O)(CC(=O)NC)[Eu]12,"(None, None)"
mbcd0003920,True,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,"('Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O', 'Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O')"
mbcd0030179,True,CCCCCCCCCCSCC(CO)NC(=O)C=CC1=C(C)NC(=O)NC1=O,"('CCCCCCCCCCSCC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O', 'CCCCCCCCCCSCC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O')"
mbcd0001465,True,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC(=C(C=C1)C#N)C(F)(F)F,"('CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1', 'CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1')"
