smiles,label,smiles_pH,smiles_neu,smiles_pH_MolDs,smiles_neu_MolDs
CCCCCCCCCCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,True,CCCCCCCCCCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,CCCCCCCCCCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,False,False
O=[N+]([O-])C(F)(CN(COCN(CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],False,O=[N+]([O-])C(F)(C[NH+](COC[NH+](CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],O=[N+]([O-])C(F)(CN(COCN(CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(F)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],False,False
CNC(=O)Oc1cccc2ccccc12,False,CNC(=O)Oc1cccc2ccccc12,CNC(=O)Oc1cccc2ccccc12,False,False
O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,True,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c12,O=C1CC(c2ccc(O)cc2)Oc2cc(O)cc(O)c21,False,False
O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,False,O=C([O-])C[NH+](CC(=O)[O-])Cc1cc2c(cc1O)Oc1cc(O)c(C[NH+](CC(=O)[O-])CC(=O)[O-])cc1C12OC(=O)c2ccccc12,O=C(O)CN(CC(=O)O)Cc1cc2c(cc1O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21,False,False
COc1cc2c(c(O)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,True,COc1cc2c(-c3ccc(OC)c(=O)cc3C(NC(=O)C)CC2)c(O)c1O,COc1cc2c(c(O)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,False,False
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,True,CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,False,False
CC(=O)OC1C(O)C(C)OC(OC2C(OC(=O)C3CCC4C(C3)OC3(CC(OC(=O)C=Cc5ccccc5)C(C)CO3)C43CO3)OC(C)C(O)C2OC(C)=O)C1O,True,CC(=O)OC1C(O)C(C)OC(OC2C(OC(=O)C3CCC4C(C3)OC3(CC(OC(=O)C=Cc5ccccc5)C(C)CO3)C34CO3)OC(C)C(O)C2OC(=O)C)C1O,CC(=O)OC1C(O)C(C)OC(OC2C(OC(=O)C3CCC4C(C3)OC3(CC(OC(=O)C=Cc5ccccc5)C(C)CO3)C43CO3)OC(C)C(O)C2OC(C)=O)C1O,False,False
COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)CC2C)C1C,False,COC1CC(CC2CCC(C)C(C(C)C(=O)[O-])O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)CC2C)C1C,COC1CC(CC2CCC(C)C(C(C)C(=O)O)O2)OC2(OC(C)(C3CCC(C)(C4OC(C5OC(O)(CO)C(C)CC5C)CC4C)O3)CC2C)C1C,False,False
CC(C)=CCCC(C)=CCCC(C)=CCSCC(N)C(=O)O,False,CC(=CCCC(=CCCC(=CCSCC([NH3+])C(=O)[O-])C)C)C,CC(C)=CCCC(C)=CCCC(C)=CCSCC(N)C(=O)O,False,False
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,False,C[NH+]1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC21,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,False,False
CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,True,CC(=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C,False,False
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,True,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)[O-])C12,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,False,False
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,False,CC[NH+](CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc12,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21,False,False
CCCCCCCCCCCCCCCCCCN(C)CC(COP(=O)(O)OCC[N+](C)(C)C)OC,False,CCCCCCCCCCCCCCCCCC[NH+](C)CC(COP(=O)([O-])OCC[N+](C)(C)C)OC,CCCCCCCCCCCCCCCCCCN(C)CC(COP(=O)(O)OCC[N+](C)(C)C)OC,False,False
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,False,CC(C[NH+](C)C)CN1c2ccccc2CCc2ccccc12,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,False,False
COC(=O)c1ccccc1-c1c2ccc(=N)cc-2oc2cc(N)ccc12,True,COC(=O)c1ccccc1c1c2-c(cc(=N)cc2)oc2cc(N)ccc12,COC(=O)c1ccccc1-c1c2ccc(=N)cc-2oc2cc(N)ccc12,False,False
NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2Cl)CC12CC2,True,[NH3+]C1CN(c2c(F)cc3c(=O)c(C(=O)[O-])cn(C4CC4F)c3c2Cl)CC21CC2,NC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4F)c3c2Cl)CC12CC2,False,False
CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,False,CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(C)C(C)CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,False,False
CNCCCC12CCC(c3ccccc31)c1ccccc12,False,C[NH2+]CCCC12CCC(c3ccccc13)c1ccccc21,CNCCCC12CCC(c3ccccc31)c1ccccc12,False,False
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,True,CN1C(=C([O-])c2sccc2S1(=O)=O)C(=O)Nc1ccccn1,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,False,False
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,True,Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,False,False
CC(=O)c1sc2c(c1OC(=O)c1ccc(Cl)cc1Cl)c(=O)n(-c1ccccc1)c(=S)n2-c1ccccc1,False,CC(=O)c1sc2c(c1OC(=O)c1ccc(Cl)cc1Cl)c(=O)n(c1ccccc1)c(=S)n2c1ccccc1,CC(=O)c1sc2c(c1OC(=O)c1ccc(Cl)cc1Cl)c(=O)n(-c1ccccc1)c(=S)n2-c1ccccc1,False,False
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,True,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,False,False
COc1ccc2c(c1)c[n+](C)c1c3cc(OC)c(OC)cc3ccc21,True,COc1ccc2c(c1)c[n+](C)c1c3cc(OC)c(OC)cc3ccc21,COc1ccc2c(c1)c[n+](C)c1c3cc(OC)c(OC)cc3ccc21,False,False
COc1cc2nc(N3CCN(C(=O)CCC4=[N+]5C(=Cc6c(C)cc(C)n6[B-]5(F)F)C=C4)CC3)nc(N)c2cc1OC,True,COc1cc2nc(N3CCN(C(=O)CCC4=[N+]5C(=Cc6c(C)cc(C)n6[B-]5(F)F)C=C4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)CCC4=[N+]5C(=Cc6c(C)cc(C)n6[B-]5(F)F)C=C4)CC3)nc(N)c2cc1OC,False,False
NC(=NO)c1ccc(CNC(=O)C2CCN2C(=O)C(NCC(=O)O)C2CCCCC2)cc1,True,NC(=[NH+]O)c1ccc(CNC(=O)C2CCN2C(=O)C([NH2+]CC(=O)[O-])C2CCCCC2)cc1,NC(=NO)c1ccc(CNC(=O)C2CCN2C(=O)C(NCC(=O)O)C2CCCCC2)cc1,False,False
CCN(CC)CCC(=O)N1CC(=Cc2ccccc2)C(=O)C(=Cc2ccccc2)C1,False,CC[NH+](CC)CCC(=O)N1CC(=Cc2ccccc2)C(=O)C(=Cc2ccccc2)C1,CCN(CC)CCC(=O)N1CC(=Cc2ccccc2)C(=O)C(=Cc2ccccc2)C1,False,False
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,False,CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc12,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,False,False
