"SMILES","CASRN","EXTERNALID","N","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","PgP inhibitor","Dataset","Cell line","INCHI_KEY"
"C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)[C@H]21)C=O","-","-","-","aldosterone","A5654","11960484","-","suppl","yes","Test","","PQSUYGKTWSAVDQ-ZVIOFETBSA"
"CCC1NC(=O)C(C(O)C(C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C","-","-","-","Cyclosporin A","A5654","11960484","-","suppl","yes","","","PMATZTZNYRCHOR-IMVLJIQESA"
"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO","-","-","-","Dexamethasone","A5654","11960484","-","suppl","yes","Test","","UREBDLICKHMUKA-CXSFZGCWSA"
"COC1=CC=C(C=C1)C1SC2=C(C=CC=C2)N(CCN(C)C)C(=O)C1OC(C)=O","-","-","-","Diltiazem","A5654","11960484","-","suppl","yes","Test","","HSUGRBWQSSZJOP-UHFFFAOYSA"
"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO","-","-","-","Hydrocortisone","A5654","11960484","-","suppl","yes","","","JYGXADMDTFJGBT-VWUMJDOOSA"
"CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@H](C[C@@H]2OC)O[C@H]2[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O[C@H]5C[C@@H](C\C=C2/C)O[C@@]2(CC[C@H](C)[C@H](O2)C(C)C)C5)[C@]34O)O[C@@H](C)[C@@H]1O.CC[C@@H](C)[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C\C=C(C)\[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H](O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)\C=C\C=C3/CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2","-","-","-","Ivermectin","A5654","11960484","-","suppl","yes","","","SPBDXSGPUHCETR-CVSKBELMSA"
"COC(=O)C1=C(C)NC(C)=C([C@@H]1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1","-","-","-","nicardipine","A5654","11960484","-","suppl","yes","","","ZBBHBTPTTSWHBA-XMMPIXPASA"
"COC1=CC2=C(C=CN=C2C=C1)[C@H](O)[C@H]1C[C@@H]2CCN1C[C@@H]2C=C","-","-","-","quinidine","A5654","11960484","-","suppl","yes","","","LOUPRKONTZGTKE-LHHVKLHASA"
"CN1CCN(CCCN2C3=CC(=CC=C3SC3=C2C=CC=C3)C(F)(F)F)CC1","-","-","-","Trifluoperazine","A5654","11960484","-","suppl","yes","","","ZEWQUBUPAILYHI-UHFFFAOYSA"
"Cl.COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1","-","-","-","Verapamil","A5654","11960484","-","suppl","yes","","","DOQPXTMNIUCOSY-UHFFFAOYSA"
"ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1","-","-","-","Clotrimazole","A5654","11960484","-","suppl","yes","Test","","VNFPBHJOKIVQEB-UHFFFAOYSA"
"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO","-","-","-","corticosterone","A5654","11960484","-","suppl","yes","","","OMFXVFTZEKFJBZ-HJTSIMOOSA"
"C\C=C\C[C@@H](C)C(=O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@@H](NC1=O)C(C)C)C(C)C","-","-","-","SDZ PSC-833 (CYCLOSPORIN D, VALSPODAR)","A5654","11960484","-","suppl","yes","","","YJDYDFNKCBANTM-QCWCSKBGSA"
"CC1=NC=C2CN=C(C3=C(F)C=CC=C3)C3=C(C=CC(Cl)=C3)N12","-","-","-","Midazolam","A5654","11960484","-","suppl","yes","","","DDLIGBOFAVUZHB-UHFFFAOYSA"
"CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1","-","-","-","Tamoxifen","A5674","7841043","-","-","yes","","KBV-1","NKANXQFJJICGDU-QPLCGJKRSA"
"OC(COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1)CN1CCCCC1","-","-","GP05","-","A5677","10496963","793","1","yes","","CCRF VCR1000","DMYOHQBLOZMDLP-UHFFFAOYSA"
"OC(COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1)CN1CCN(CC2=CC=CC=C2)CC1","-","-","GP29","-","A5677","10496963","793","1","yes","","CCRF VCR1000","FLEXENSQDQMATB-UHFFFAOYSA"
"OC(COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1)CN1CCN(CC1)C1=CC=C(F)C=C1","-","-","GP31","-","A5677","10496963","793","1","yes","","CCRF VCR1000","UQOKEVFVYZVXCW-UHFFFAOYSA"
"OC(COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1)CN1CCC(O)(CC1)C1=CC=CC=C1","-","-","GP62","-","A5677","10496963","793","1","yes","","CCRF VCR1000","YQLGIKXRTZJNLK-UHFFFAOYSA"
"OC(CNC1=CC=CC=C1)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1","-","-","GP240","-","A5677","10496963","793","1","yes","","CCRF VCR1000","YHTIQUARFRYUQD-UHFFFAOYSA"
"COC(=O)C1=CC=C(NCC(O)COC2=CC=CC=C2C(=O)CCC2=CC=CC=C2)C=C1","-","-","GP339","-","A5677","10496963","793","1","yes","","CCRF VCR1000","VBNFKJNDCWHXKO-UHFFFAOYSA"
"OC(CNC1=CC=C(C=C1)C(F)(F)F)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1","-","-","GP358","-","A5677","10496963","793","1","yes","","CCRF VCR1000","WKKIOKWFNZYJJO-UHFFFAOYSA"
"OC(CNC1=CC=C(C=C1)N(=O)=O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1","-","-","GP359","-","A5677","10496963","793","1","yes","","CCRF VCR1000","CSJBPSQOOWBUDQ-UHFFFAOYSA"
"CCCN(CC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1)C(=O)C1=CC=CC=C1","-","-","GP360","-","A5677","10496963","793","1","yes","","CCRF VCR1000","MPXNGMKBHHFOKP-UHFFFAOYSA"
"CCC(=O)N(CC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1)CC1=CC=CC=C1","-","-","GP366","-","A5677","10496963","793","1","yes","","CCRF VCR1000","IIYNHMGEDICQTE-UHFFFAOYSA"
"OC(COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1)CN1CCN(CC1)C(=O)C1=CC=CC=C1","-","-","GP388","-","A5677","10496963","793","1","yes","","CCRF VCR1000","JDHYTLQRORSYBS-UHFFFAOYSA"
"CCOC(=O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1","-","-","GP570","-","A5677","10496963","793","1","yes","","CCRF VCR1000","KREHSKXRGYMFAJ-UHFFFAOYSA"
"COC1=CC=CC2=C1NC1=C(C=CC=C1C(=O)NC1=CC=C(CCN3CCC4=CC(OC)=C(OC)C=C4C3)C=C1)C2=O","-","-","-","GF 120918","A5646","11602674","626","8","yes","","MDR1-MDCKII","OSFCMRGOZNQUSW-UHFFFAOYSA"
"CC[C@@H]1N(C(=O)OC(C)C)C2=C(NC1=O)C=CC(F)=C2","-","-","","GW 420867X","A5646","11602674","626","8","yes","","MDR1-MDCKII","KELNNWMENBUHNS-NSHDSACASA"
"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O","-","-","-","Testosterone","A5646","11602674","626","8","yes","","MDR1-MDCKII","MUMGGOZAMZWBJJ-DYKIIFRCSA"
"COC1=CC=CC=C1OCCNC[C@@H](O)COC1=CC=CC2=C1C1=C(N2)C(O[C@@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)=CC=C1","-","-","-","5-Hydroxycarvedilol","A5682","11961114","976","1","yes","","Caco","VNOMSNHAOHVOPZ-IVODMCMDSA"
"CCCC(=O)NC1=CC=C(OC[C@H](O)CNC(C)C)C(=C1)C(C)=O","-","-","-","Acebutolol","A5682","11961114","976","1","yes","","Caco","GOEMGAFJFRBGGG-OAHLLOKOSA"
"COC1=C(OCCNCC(O)COC2=C3C(NC4=C3C=CC=C4)=CC=C2)C=CC=C1","-","-","-","Carvedilol","A5682","11961114","976","1","yes","","Caco","OGHNVEJMJSYVRP-UHFFFAOYSA"
"OC(CNCCOC1=CC=CC=C1O)COC1=CC=CC2=C1C1=CC=CC=C1N2","-","-","-","Desmethylcarvedilol","A5682","11961114","976","1","yes","","Caco","XAUKPPPYYOKVQJ-UHFFFAOYSA"
"CC(C)NCC(O)COC1=C(C=C(NC(C)=O)C=C1)C(C)=O","-","-","-","Diacetolol","A5682","11961114","976","1","yes","","Caco","AWOGXJOBNAWQSF-UHFFFAOYSA"
"C[C@H](CCC1=CC=CC=C1)NC[C@H](O)C1=CC(C(N)=O)=C(O)C=C1","-","-","-","Dilevalol","A5682","11961114","976","1","yes","","Caco","SGUAFYQXFOLMHL-ACJLOTCBSA"
"COC1=CC=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C(OC)=C2)C=C1OC","-","-","-","Gallopamil","A5682","11961114","976","1","yes","","Caco","XQLWNAFCTODIRK-UHFFFAOYSA"
"C[C@H](CCC1=CC=CC=C1)NC[C@@H](O)C1=CC(C(N)=O)=C(O)C=C1","-","-","-","Labetalol","A5682","11961114","976","1","yes","","Caco","SGUAFYQXFOLMHL-FZKQIMNGSA"
"COC1=CC(=CC(OC)=C1OC)C(CCCNCCC1=CC(OC)=C(OC)C=C1)(C#N)C(C)C","-","-","-","Norgallopamil","A5682","11961114","976","1","yes","","Caco","JBERDSXBGRTWOG-UHFFFAOYSA"
"COC1=CC=C(CCNCCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1OC","-","-","-","Norverapamil","A5682","11961114","976","1","yes","","Caco","UPKQNCPKPOLASS-UHFFFAOYSA"
"COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C","-","-","-","Omeprazole","A5682","11961114","976","1","yes","","Caco","SUBDBMMJDZJVOS-UHFFFAOYSA"
"CC(C)NCC(O)COC1=C2C=CC=CC2=CC=C1","-","-","-","Propranolol","A5682","11961114","976","1","yes","","Caco","AQHHHDLHHXJYJD-UHFFFAOYSA"
"CC(C)(C)NCC(O)COC1=CC=C(NC(=O)NC2CCCCC2)C=C1","-","-","-","Talinolol","A5682","11961114","976","1","yes","","Caco","MXFWWQICDIZSOA-UHFFFAOYSA"
"Cl.COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1","-","-","-","Verapamil","A5682","11961114","976","1","yes","","Caco","DOQPXTMNIUCOSY-UHFFFAOYSA"
"COC1=C(OC)C=C(CCN(C)CCCC2(C3=CC(OC)=C(OC)C=C3)S(=O)(=O)CCCS2(=O)=O)C=C1","-","-","-","Tiapamil","A5682","11961114","976","1","yes","","Caco","ZROUQTNYPCANTN-UHFFFAOYSA"
"CN1C=NC2=C1C(=O)N(C)C(=O)N2C","-","-","-","Caffeine","A5683","11961113","968","1","yes","","Caco","RYYVLZVUVIJVGH-UHFFFAOYSA"
"CC[C@]1(NC(=O)N(C)C1=O)C1=CC=CC=C1","-","-","-","S-Mephenytoin","A5683","11961113","968","1","yes","","Caco","GMHKMTDVRCWUDX-LBPRGKRZSA"
"CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1","-","-","-","tolbutamide","A5683","11961113","968","1","yes","","Caco","JLRGJRBPOGGCBT-UHFFFAOYSA"
"ClC1=CC2=C(OC(=O)N2)C=C1","-","-","-","Chlorzoxazone","A5683","11961113","968","1","yes","","Caco","TZFWDZFKRBELIQ-UHFFFAOYSA"
