_id,drug,structure,transporter,species,geneName,geneId,type,place,method,experimentalSystem,dose,route,substanceMeasured,concomitant,time,comment,parameterType,parameter,value,units,reference,source,sourceLink,year,TransporterInfo_id,fullname,structurelink
ISTE070327,Zosuquidar2,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,"Digoxin1,3",,,,IC50,IC50,0.024,μM,"Choo, 2000",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070328,Elacridar (GF120918)2,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDCK II-MDR1 cells,,,Colchicine,,,,IC50,IC50,0.027,μM,"Rautio, 2006",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097567,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"P388 VMDR C0.4 cells, recombinant",0-100 uM,,[3H]-Daunorubicin,[Daunorubicin Hydrochloride],60 min,,Ki,Ki,0.038,uM,JOURNAL:Biochimica et Biophysica Acta  Molecular Basis of Disease   PAGES:8   VOLUME:1316,Literature,,1996,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069000,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,HCMEC/ D3 cells,,,Calcein AM,[Calcein acetomethoxy ester],8 min,,IC50,IC50,0.04,uM,DOI:10.3109/00498254.2011.587033   JOURNAL:Xenobiotica   PAGES:712   VOLUME:41,Literature,http://dx.doi.org/10.3109/00498254.2011.587033,2011,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097857,Elacridar Hydrochloride,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC.Cl,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1-expressing Caco2 cells,,,"Digoxin1,3",,,,Ki,Ki,0.04,μM,"Horie, 2003",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070329,Elacridar (GF120918)2,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDCK II-MDR1 cells,,,Vinblastine1,,,,IC50,IC50,0.043,μM,"Rautio, 2006",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070330,Elacridar (GF120918)2,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDCK II-MDR1 cells,,,"Digoxin1,3",,,,IC50,IC50,0.055,μM,"Rautio, 2006",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070331,Zosuquidar2,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDCKII-MDR1 cells,,,Abacavir,,,,IC50,IC50,0.07,μM,"Shaik, 2007",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE069002,Ivermectin,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@@H](OC)[C@@H](O[C@H]5C[C@@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)C(O5)[C@@H](C)CC)O4)OC(=O)[C@H](C=C(C)[C@H]1O)[C@@]23O,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,"L-MDR1 cells, recombinant",0.05-50 uM,,Calcein AM,[Calcein acetomethoxy ester],45 min,,IC50,IC50,0.1,uM,DOI:10.1021/jm021012t   JOURNAL:Journal of Medicinal Chemistry   PAGES:1716   VOLUME:46,Literature,http://dx.doi.org/10.1021/jm021012t,2003,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070332,Cyclosporine2,CC[C@H]1C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 exressing CCRF-cEM/VCR 1000 cells,,,Daunorubicin,,,,IC50,IC50,0.1,μM,"Jabeen, 2012",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070333,Elacridar,COC1=CC=CC2=C1NC3=C(C2=O)C=CC=C3C(=O)NC4=CC=C(C=C4)CCN5CCC6=CC(=C(C=C6C5)OC)OC,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 exressing CCRF-cEM/VCR 1000 cells,,,Daunorubicin,,,,IC50,IC50,0.1,μM,"Jabeen, 2012",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070334,Gpv062,O=C(CCc1ccccc1)c1ccccc1OCC(O)CN1CCC(O)(c2ccccc2)CC1,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 exressing CCRF-cEM/VCR 1000 cells,,,Daunorubicin,,,,IC50,IC50,0.1,μM,"Jabeen, 2012",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070335,Ivermectin,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,Rhodamine 123,,,,IC50,IC50,0.1,μM,"Griffin, 2005",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070336,Ivermectin,CC[C@H](C)[C@@H]1[C@H](CC[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 expressing LLC-PK1 cells,,,Calcein AM,,,,IC50,IC50,0.1,μM,"Schwab, 2003",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070337,Zosuquidar2,C1CN(CCN1C[C@H](COC2=CC=CC3=C2C=CC=N3)O)C4C5=CC=CC=C5[C@H]6[C@H](C6(F)F)C7=CC=CC=C47,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,MDR1 exressing CCRF-cEM/VCR 1000 cells,,,Daunorubicin,,,,IC50,IC50,0.1,μM,"Jabeen, 2012",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE070338,Valspodar2,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,"Digoxin1,3",,,,IC50,IC50,0.11,μM,"Choo, 2000",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE097858,Valspodar2,C/C=C/C[C@@H](C)C(=O)[C@H]1C(=O)N[C@H](C(=O)N(CC(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N([C@H](C(=O)N1C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C)C(C)C,MDR1,Human,ABCB1,5243,Inhibitor,In Vitro,Cell line,Caco2 cells,,,"Digoxin1,3",,,,Ki,Ki,0.11,μM,"Wandel, 2000",UCSF-FDA,,,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
