_id,drug,structure,transporter,species,geneName,geneId,type,place,method,experimentalSystem,dose,route,substanceMeasured,concomitant,time,comment,parameterType,parameter,value,units,reference,source,sourceLink,year,TransporterInfo_id,fullname,structurelink
ISTE024189,Fluvoxamine Maleate,OC(=O)\C=C/C(O)=O.COCCCC\C(C1=CC=C(C=C1)C(F)(F)F)=N/OCCN,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,15 days,Oral,Digoxin,[Digoxin],,,AUC,AUC change,5,%,"FDA approval package document: Printed Labeling 020243, page:14 PDF 1215k",FDA approval package document,,1994,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024196,Ramelteon,CCC(=O)NCC[C@@H]1CCC2=CC=C3OCCC3=C12,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,16 mq qd on 1-12 days,Oral,Digoxin,[Digoxin],,AUC(0-tau),AUC,AUC decrease,3,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 021782/S-000, page:60 PDF 3065k",FDA approval package document,,2004,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024198,Ramelteon,CCC(=O)NCC[C@@H]1CCC2=CC=C3OCCC3=C12,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"16 mg/day, 12 days",Oral,Digoxin,[Digoxin],,,AUC,AUC decrease,3,%,"FDA approval package document: Medical/Clinical Review 021782/S-000, page:196 PDF 9492k",FDA approval package document,,2005,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024199,Eslicarbazepine Acetate,CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=C1C=CC=C2,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,1200 mg QD for 8 days,Oral,Digoxin,[Digoxin],,,AUC,AUC decrease,4,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022416/S-000 Part 08, page:3 PDF 362k",FDA approval package document,,2013,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024204,Diroximel Fumarate,COC(=O)\C=C\C(=O)OCCN1C(=O)CCC1=O,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,462 mg,Oral,Digoxin,[Digoxin],,AUC(0-inf); compared to concomitant drug alone,AUC,AUC decrease,10,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 211855/S-000, page:26 PDF 3661k",FDA approval package document,,2019,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024205,Diroximel Fumarate,COC(=O)\C=C\C(=O)OCCN1C(=O)CCC1=O,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,462 mg,Oral,Digoxin,[Digoxin],,AUC(0-last); compared to concomitant drug alone,AUC,AUC decrease,10,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 211855/S-000, page:26 PDF 3661k",FDA approval package document,,2019,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024207,Bosentan,COC1=CC=CC=C1OC1=C(OCCO)N=C(N=C1NS(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=NC=CC=N1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"500 mg BID, 7d",Oral,Digoxin,[Digoxin],d14,AUC(0-tau),AUC,AUC decrease,12,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 021290/S-000 Part 02, page:30 PDF 1519k",FDA approval package document,,2001,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024208,Bosentan,COC1=CC=CC=C1OC1=C(OCCO)N=C(N=C1NS(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=NC=CC=N1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,"500 mg BID, 7d",Oral,Digoxin,[Digoxin],d8,AUC(0-tau),AUC,AUC decrease,12,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 021290/S-000 Part 02, page:32 PDF 1519k",FDA approval package document,,2001,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024209,Prasugrel Hydrochloride,Cl.CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,10 mg for 9 days,Oral,Digoxin,[Digoxin],,AUC(0-24),AUC,AUC decrease,13,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022307/S-000 Part 20, page:10 PDF 1001k",FDA approval package document,,2008,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
ISTE024210,Prasugrel Hydrochloride,Cl.CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,MDR1,Human,ABCB1,5243,Inhibitor,In Vivo,In Vivo,Not applicable,10 mg for 9 days,Oral,Digoxin,[Digoxin],,AUC(0-24),AUC,AUC decrease,13,%,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 022307/S-000 Part 20, page:9 PDF 1001k",FDA approval package document,,2008,IST129,Multidrug resistance protein 1,https://www.uniprot.org/uniprotkb/P08183/entry#structure
