CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL1098875	627746	CHEMBL1098875	627746		1s	266.23	2.07	51.96	0	Fc1ccc2N3C(=O)c4ccccc4N=C3C(=O)c2c1	12720879	Ratio	>	1	-	NA	Ratio	>	1			NA	0	BAO_0000179			951790	CHEMBL2352751	A	Efflux ratio in human Caco2 cells incubated for 1 hr at 37 degC by HPLC-MS/MS method	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	72743	CHEMBL2346548	23360475	J. Nat. Prod.	2013	76	3	354	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1950762	1279742	CHEMBL1950762	1279742		20b, (+)-enantiomer	420.46	4.38	51.1	0	Cn1c2CC3CCC(N3)c2c4cc(ccc14)S(=O)(=O)c5cccc(c5)C(F)(F)F	8030708	Ratio	=	1.8	-	NA	Ratio	=	1.8			NA	0	BAO_0000179			804514	CHEMBL1952524	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	61177	CHEMBL1949664	22290076	Bioorg. Med. Chem. Lett.	2012	22	4	1494	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1951435	1280422	CHEMBL1951435	1280422		(S)-4l	340.43	1.5	92.87	0	CN1C=Nc2c(C	NA			NA		NA			NA			NA	NA				NA				NA			NA	NA			NA			NA			NA		NA	NA	NA		NA		NA	NA	NA	NA	NA			NA	NA
CHEMBL1085228	632083	CHEMBL1085228	632083		rac-3	574.77	4.46	82.11	1	Cc1ncnc(C)c1C(=O)N2CCC(C)(CC2)N3CCC(CC3)N4C(CN(CC5CCOCC5)C4=O)c6ccccc6	3315788	Ratio	=	33	-	NA	Ratio	=	33			NA	0	BAO_0000179			634197	CHEMBL1119779	A	Efflux ratio of permeability from apical to basolateral over basolateral to apical side in human Caco-2 cells after 21 days	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	51335	CHEMBL1155507	20457517	Bioorg. Med. Chem. Lett.	2010	20	11	3219	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1085722	632190	CHEMBL1085722	632190		20	641.86	5.5	105.9	2	CCO[C@@H]1CC[C@@H](CN2C[C@@H](N(C3CCN(CC3)C4(C)CCN(CC4)C(=O)c5c(C)cc(nc5C)C	NA			NA		NA			NA			NA	NA				NA				NA			NA	NA			NA			NA			NA		NA	NA	NA		NA		NA	NA	NA	NA	NA			NA	NA
CHEMBL1928259	1269224	CHEMBL1928259	1269224		20b	547.68	1.75	135.54	1	CCN1CCN(CC1)S(=O)(=O)c2cnc(OCC(C)C)c(c2)C3=Nc4c(CC)n(CCOC)nc4C(=O)N3	7971971	Ratio	=	1.1	-	NA	Ratio	=	1.1			NA	0	BAO_0000179			791636	CHEMBL1930860	A	Efflux ratio of apparent permeability from apical to basolateral to basolateral to apical side of human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	60493	CHEMBL1926502	22100260	Bioorg. Med. Chem.	2012	20	1	498	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL1939620	1274466	CHEMBL1939620	1274466		16	443.51	3.78	112.13	0	Cn1c(OCC(C)(C)C(=O)N)nnc1c2ccc(NC(=O)c3ccc4ccccc4c3)cc2	8010345	Ratio	=	479	-	NA	Ratio	=	479			NA	0	BAO_0000179			797439	CHEMBL1943182	A	Efflux ratio of permeability from basolateral to apical side over apical to basolateral side in human Caco2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	60878	CHEMBL1938228	22217874	Bioorg. Med. Chem. Lett.	2012	22	2	824	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL272836	441291	CHEMBL272836	441291		15b	378.47	5.08	36.92	1	COc1cccc(CCc2ccccc2OCc3ccc(OC)c(OC)c3)c1	2108488	Ratio	=	5.1	-	NA	Ratio	=	5.1			NA	0	BAO_0000179			465977	CHEMBL931161	A	Ratio of permeability from apical to basolateral side over basolateral to apical side in human Caco-2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	38582	CHEMBL1142354	18257545	J. Med. Chem.	2008	51	5	1415	495	CHEMBL3307519	Caco-2	NA	NA
CHEMBL595584	591267	CHEMBL595584	591267		16	559.73	4.71	80.54	1	Cc1cc(nc(C)c1C(=O)N2C[C@@H]3CN(CCC4(CCN(CC4)C(=O)C(C)(C)C)c5cccc(F)c5)C[C@@H]3C2)C	NA			NA		NA			NA			NA	NA				NA				NA			NA	NA			NA			NA			NA		NA	NA	NA		NA		NA	NA	NA	NA	NA			NA	NA
CHEMBL596107	596179	CHEMBL596107	596179		5h	571.1	2.41	127.5	1	CN(C)C(=O)[C@H]1CC[C@H](NC(=O)C2=CC(=O)c3cc(Cl)ccc3N2)[C@@H](C1)NC(=O)c4nc5CCN(C)Cc5s4	3078329	Ratio	=	4.3	-	NA	Ratio	=	4.3			NA	0	BAO_0000179			605889	CHEMBL1067921	A	Ratio of permeability for atenolol to permeability for drug in human Caco-2 cells	1	Scientific Literature	Homo sapiens	NA	9606	Autocuration	BAO_0000219	80054	CHEMBL614058	CELL-LINE	NA	Caco-2	Homo sapiens	1	Non-molecular	NA	NA	49394	CHEMBL1153111	19900814	Bioorg. Med. Chem.	2009	17	24	8221	495	CHEMBL3307519	Caco-2	NA	NA
