,label
0,False
1,True
2,True
3,True
4,True
5,True
6,True
7,True
8,False
9,True
10,True
11,True
12,True
13,True
14,True
15,True
16,True
17,True
18,True
19,True
20,False
21,False
22,False
23,True
24,True
25,True
26,True
27,True
28,True
29,True
30,True
31,True
32,False
33,True
34,True
35,True
36,False
37,True
38,True
39,True
40,True
41,True
42,True
43,True
44,False
45,True
46,True
47,True
48,True
49,True
50,True
51,True
52,True
53,True
54,True
55,True
56,True
57,True
58,True
59,True
60,True
61,True
62,True
63,True
64,True
65,True
66,True
67,True
68,True
69,True
70,True
71,True
72,True
73,True
74,True
75,True
76,False
77,False
78,True
79,True
80,True
81,True
82,False
83,True
84,True
85,True
86,True
87,True
88,True
89,True
90,True
91,True
92,True
93,True
94,True
95,False
96,True
97,True
98,True
99,True
100,True
101,True
102,True
103,True
104,True
105,True
106,True
107,True
108,True
109,True
110,True
111,False
112,True
113,True
114,False
115,True
116,True
117,False
118,False
119,True
120,True
121,True
122,True
123,True
124,True
125,True
126,True
127,True
128,False
129,True
130,True
131,True
132,True
133,True
134,True
135,True
136,True
137,True
138,True
139,True
140,True
141,True
142,True
143,True
144,True
145,True
146,True
147,True
148,True
149,True
150,True
151,False
152,True
153,True
154,True
155,True
156,True
157,True
158,True
159,False
160,False
161,False
162,True
163,True
164,True
165,False
166,True
167,True
168,True
169,True
170,True
171,True
172,True
173,True
174,True
175,True
176,True
177,True
178,True
179,True
180,True
181,True
182,True
183,True
184,True
185,True
186,False
187,True
188,False
189,False
190,True
191,False
192,False
193,True
194,True
195,True
196,True
197,True
198,True
199,True
200,True
201,True
202,True
203,True
204,True
205,True
206,True
207,True
208,True
209,False
210,True
211,False
212,True
213,True
214,True
215,True
216,True
217,True
218,True
219,True
220,True
221,True
222,True
223,True
224,True
225,True
226,True
227,True
228,True
229,False
230,True
231,False
232,True
233,True
234,True
235,True
236,True
237,True
238,True
239,True
240,True
241,True
242,True
243,True
244,True
245,True
246,False
247,True
248,False
249,True
250,True
251,True
252,True
253,False
254,False
255,True
256,True
257,True
258,True
259,True
260,True
261,True
262,True
263,True
264,True
265,True
266,True
267,True
268,True
269,True
270,False
271,True
272,True
273,True
274,True
275,True
276,False
277,True
278,True
279,False
280,False
281,True
282,True
283,True
284,True
285,True
286,True
287,True
288,True
289,True
290,True
291,True
292,True
293,True
294,True
295,True
296,True
297,True
298,True
299,True
300,True
301,True
302,True
303,True
304,True
305,True
306,False
307,False
308,True
309,True
310,True
311,True
312,True
313,True
314,True
315,True
316,True
317,True
318,True
319,True
320,True
321,True
322,True
323,True
324,True
325,True
326,True
327,True
328,False
329,True
330,True
331,False
332,True
333,True
334,True
335,False
336,True
337,True
338,True
339,True
340,True
341,True
342,True
343,True
344,True
345,True
346,True
347,True
348,True
349,True
350,True
351,True
352,True
353,True
354,True
355,True
356,True
357,True
358,True
359,True
360,True
361,False
362,True
363,True
364,False
365,True
366,True
367,False
368,True
369,True
370,True
371,True
372,True
373,True
374,True
375,True
376,True
377,True
378,False
379,True
380,True
381,True
382,True
383,True
384,True
385,True
386,True
387,True
388,True
389,True
390,True
391,True
392,False
393,True
394,False
395,True
396,True
397,True
398,True
399,False
400,True
401,False
402,True
403,True
404,True
405,True
406,True
407,True
408,True
409,True
410,False
411,True
412,True
413,True
414,True
415,True
416,True
417,True
418,False
419,True
420,True
421,True
422,True
423,True
424,True
425,True
426,True
427,True
428,True
429,True
430,True
431,True
432,True
433,True
434,True
435,False
436,True
437,False
438,True
439,True
440,True
441,True
442,True
443,True
444,False
445,True
446,True
447,True
448,True
449,True
450,True
451,True
452,True
453,True
454,True
455,True
456,True
457,True
458,True
459,True
460,True
461,False
462,True
463,True
464,True
465,True
466,False
467,True
468,True
469,True
470,True
471,True
472,True
473,True
474,True
475,True
476,True
477,True
478,True
479,True
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,True
488,True
489,True
490,True
491,True
492,True
493,True
494,True
495,True
496,True
497,True
498,True
499,False
500,True
501,True
502,True
503,True
504,True
505,True
506,True
507,True
508,False
509,True
510,False
511,True
512,True
513,True
514,True
515,True
516,True
517,True
518,True
519,True
520,True
521,True
522,True
523,True
524,True
525,True
526,True
527,True
528,True
529,True
530,True
531,True
532,True
533,True
534,True
535,True
536,True
537,True
538,True
539,True
540,True
541,True
542,True
543,True
544,True
545,True
546,True
547,False
548,True
549,True
550,True
551,True
552,True
553,True
554,True
555,True
556,False
557,True
558,True
559,True
560,True
561,False
562,False
563,False
564,False
565,False
566,False
567,False
568,False
569,False
570,False
571,False
572,False
573,False
574,False
575,False
576,False
577,False
578,False
579,False
580,False
581,False
582,False
583,False
584,False
585,False
586,False
587,False
588,False
589,True
590,True
591,True
592,True
593,True
594,True
595,True
596,False
597,False
598,False
599,False
600,False
601,False
602,False
603,True
604,False
605,True
606,True
607,True
608,True
609,True
610,True
611,True
612,True
613,True
614,True
615,True
616,False
617,True
618,True
619,True
620,True
621,True
622,True
623,True
624,True
625,True
626,False
627,True
628,True
629,True
630,True
631,True
632,True
633,True
634,True
635,True
636,True
637,True
638,False
639,True
640,True
641,True
642,True
643,True
644,True
645,True
646,False
647,False
648,False
649,True
650,True
651,True
652,True
653,False
654,True
655,True
656,True
657,True
658,True
659,False
660,True
661,True
662,True
663,True
664,True
665,True
666,True
667,True
668,True
669,True
670,False
671,True
672,True
673,True
674,True
675,True
676,True
677,True
678,True
679,True
680,False
681,True
682,True
683,True
684,True
