,x,y,Subtypes,colors,Channels,idx,indices
MolWeight,0.07085419,-0.4512222,Property,#ff6a00,Property,0,278
MolExactWeight,0.08861209,-0.42760387,Property,#ff6a00,Property,1,316
MolAverageWeight,2.4481297,2.3224375,Property,#ff6a00,Property,2,992
MolHeavyAtomWeight,-0.025539331,-0.24551909,Property,#ff6a00,Property,3,352
MolFilterItLogS,-2.1819754,3.1703343,Property,#ff6a00,Property,4,1081
MolSLogP,-0.22014084,-0.87625057,Property,#ff6a00,Property,5,164
MolQedWeightsMax,2.2530897,2.1361134,Property,#ff6a00,Property,6,916
MolQedWeightsMean,2.247644,2.1871617,Property,#ff6a00,Property,7,953
MolQedWeightsNone,2.3237908,2.1974542,Property,#ff6a00,Property,8,954
MolRefractivity,0.008047754,-0.6311957,Property,#ff6a00,Property,9,240
MolFractionCSP3,1.4902763,2.4851093,Property,#ff6a00,Property,10,1061
MolHydrophilicityFactor,-2.0920134,3.2194853,Property,#ff6a00,Property,11,1120
MolUnsaturationIndex,1.7377484,0.6668504,Property,#ff6a00,Property,12,546
MolFpDensityMorgan1,2.4312897,2.1438153,Property,#ff6a00,Property,13,955
MolFpDensityMorgan3,2.409872,2.1356215,Property,#ff6a00,Property,14,917
MolTPSA,-0.49730185,1.9186049,Property,#ff6a00,Property,15,904
NumRadicalElectrons,-1.2205299,-0.7765246,Property,#ff6a00,Property,16,156
NumValenceElectrons,0.1145562,-0.48972577,Property,#ff6a00,Property,17,317
NumHydrogenAtoms,0.28586358,-1.6216103,Constitution,#ffd500,Constitution,18,58
NumHalogenAtoms,-1.1030866,0.8404603,Constitution,#ffd500,Constitution,19,566
NumHeteroAtoms,-0.30766883,1.3198175,Constitution,#ffd500,Constitution,20,720
NumBridgeheadAtoms,0.08420282,0.35747424,Constitution,#ffd500,Constitution,21,427
NumSpiroAtoms,0.31579775,0.41639525,Constitution,#ffd500,Constitution,22,502
NumAllAtoms,0.3606694,-1.3704997,Constitution,#ffd500,Constitution,23,133
NumRings,0.3172376,0.6856637,Constitution,#ffd500,Constitution,24,576
NumAromaticRings,0.38003585,1.035377,Constitution,#ffd500,Constitution,25,688
NumSaturatedRings,0.40918028,0.51642424,Constitution,#ffd500,Constitution,26,539
NumAliphaticRings,0.42009318,0.49217433,Constitution,#ffd500,Constitution,27,540
NumAromaticBonds,0.36380473,0.98553216,Constitution,#ffd500,Constitution,28,651
NumAmideBonds,-0.22969775,1.6010172,Constitution,#ffd500,Constitution,29,832
NumHeteroCycles,1.012214,1.0194027,Constitution,#ffd500,Constitution,30,690
NumAliphaticCarbocycles,0.3729956,0.2892127,Constitution,#ffd500,Constitution,31,429
NumAliphaticHeterocycles,0.56535196,1.3411976,Constitution,#ffd500,Constitution,32,762
NumAromaticCarbocycles,0.18414114,1.1311853,Constitution,#ffd500,Constitution,33,722
NumAromaticHeterocycles,1.138651,1.0935656,Constitution,#ffd500,Constitution,34,654
NumSaturatedCarbocycles,0.33597568,0.30818346,Constitution,#ffd500,Constitution,35,428
NumSaturatedHeterocycles,0.62779117,1.4481258,Constitution,#ffd500,Constitution,36,799
NumAtomStereoCenters,-0.23723982,-1.5469227,Constitution,#ffd500,Constitution,37,88
NumUnspecifiedAtomStereoCenters,-0.18010986,-1.5280186,Constitution,#ffd500,Constitution,38,90
NumCarbonAtoms,-0.09147526,-0.62137073,Constitution,#ffd500,Constitution,39,276
NumFluorineAtoms,-1.1864301,0.8373662,Constitution,#ffd500,Constitution,40,601
NumChlorineAtoms,2.4660804,-0.3873834,Constitution,#ffd500,Constitution,41,329
NumBromineAtoms,2.2607586,-0.9925595,Constitution,#ffd500,Constitution,42,179
NumIodineAtoms,1.831993,-0.93470716,Constitution,#ffd500,Constitution,43,176
NumSulfurAtoms,1.4641227,1.1238601,Constitution,#ffd500,Constitution,44,693
NumPhosphorousAtoms,-1.3349618,0.021978075,Constitution,#ffd500,Constitution,45,342
NumAcyclicNitrogenAtoms,0.23025806,2.2219777,Constitution,#ffd500,Constitution,46,982
NumCyclicNitrogenAtoms,1.1011655,1.1800327,Constitution,#ffd500,Constitution,47,765
NumAcyclicOxygenAtoms,-0.7362768,1.6575857,Constitution,#ffd500,Constitution,48,826
NumCyclicOxygenAtoms,0.52488035,1.1431262,Constitution,#ffd500,Constitution,49,689
NumHeavyAtoms,0.06423134,-0.342937,Constitution,#ffd500,Constitution,50,353
NumAcyclicSingleBonds,0.5228441,-1.3503236,Constitution,#ffd500,Constitution,51,135
NumAcyclicDoubleBonds,-0.36105445,1.559333,Constitution,#ffd500,Constitution,52,793
NumAcyclicTripleBonds,0.0008341297,3.810345,Constitution,#ffd500,Constitution,53,1242
NumCyclicSingleBonds,0.22473809,0.41974962,Constitution,#ffd500,Constitution,54,464
NumCyclicDoubleBonds,0.3242703,1.080666,Constitution,#ffd500,Constitution,55,725
NumCyclicTripleBonds,0.077102005,1.039973,Constitution,#ffd500,Constitution,56,684
NumRotatableBonds,0.6772971,-1.4930242,Constitution,#ffd500,Constitution,57,99
NumHydrogenBondAcceptorSites,-0.5299049,1.7677504,Constitution,#ffd500,Constitution,58,866
NumHydrogenBondAcceptorAtoms,-0.2710881,1.6940755,Constitution,#ffd500,Constitution,59,905
NumHydrogenBondDonorSites,-0.18683034,2.4497633,Constitution,#ffd500,Constitution,60,1054
NumHydrogenBondDonorAtoms,-0.26638228,2.324089,Constitution,#ffd500,Constitution,61,1017
NegativeCharges,-0.512405,2.2868552,Constitution,#ffd500,Constitution,62,1015
PositiveCharges,-0.5592838,2.3992295,Constitution,#ffd500,Constitution,63,1052
AcyclicSingleValentNodes,-0.7297375,0.5988857,Constitution,#ffd500,Constitution,64,493
AcyclicDivalentNodes,0.8264815,-1.5375068,Constitution,#ffd500,Constitution,65,101
AcyclicTrivalentNodes,-0.21430752,1.4626552,Constitution,#ffd500,Constitution,66,758
AcyclicTetravalentNodes,-1.1830944,0.48461625,Constitution,#ffd500,Constitution,67,455
CyclicDivalentNodes,0.28131062,0.6412274,Constitution,#ffd500,Constitution,68,575
CyclicTrivalentNodes,0.16452539,0.6443868,Constitution,#ffd500,Constitution,69,574
CyclicTetravalentNodes,0.048029505,0.22091702,Constitution,#ffd500,Constitution,70,426
3MemberedRings,0.6540854,0.49451697,Constitution,#ffd500,Constitution,71,542
4MemberedRings,0.3853456,0.41668802,Constitution,#ffd500,Constitution,72,503
5MemberedRings,0.81883836,0.8593205,Constitution,#ffd500,Constitution,73,615
6MemberedRings,0.24015866,0.7388982,Constitution,#ffd500,Constitution,74,611
7MemberedRings,0.3043859,-0.5815456,Constitution,#ffd500,Constitution,75,281
8MemberedRings,-0.9894292,-1.2833902,Constitution,#ffd500,Constitution,76,83
9MemberedRings,-0.77133185,-1.6705388,Constitution,#ffd500,Constitution,77,48
10MemberedRings,-0.28348687,0.31492686,Constitution,#ffd500,Constitution,78,460
NodesSharedby2Rings,0.0980968,0.661228,Constitution,#ffd500,Constitution,79,610
EdgesSharedby2Rings,0.09123518,0.5767391,Constitution,#ffd500,Constitution,80,573
ATS0dv,-0.3704356,0.93109494,Autocorr,#bfff00,Autocorr,81,608
ATS1dv,-0.1944467,0.743277,Autocorr,#bfff00,Autocorr,82,609
ATS2dv,-0.27594626,0.74369705,Autocorr,#bfff00,Autocorr,83,571
ATS3dv,-0.2672622,0.6609035,Autocorr,#bfff00,Autocorr,84,534
ATS4dv,-0.2619897,0.5113272,Autocorr,#bfff00,Autocorr,85,497
ATS5dv,-0.39706546,0.3804345,Autocorr,#bfff00,Autocorr,86,496
