,max,mean,min,median,mode,skewness,std,var
MolWeight,39279.499,345.4651295414815,39.854,327.358,262.353,10.41210484172104,113.98920061522648,12993.537856898349
MolExactWeight,39279.04034,345.0130010940178,40.03585,327.02325,262.16813,10.440812385336532,113.84787589910069,12961.338846737031
MolAverageWeight,173.943,14.68468706328734,5.75814,14.22389,13.80805,3.5407934157365464,1.536087531253879,2.359564903673637
MolHeavyAtomWeight,39271.435,323.83085030150306,36.033,307.215,240.177,11.146507267998565,107.9455369145044,11652.238939760633
MolFilterItLogS,56.61011,-4.480301497694885,-133.28934,-4.29366,-6.61042,-3.3019260568924698,2.1834274330821892,4.767355355535878
MolSLogP,180.5172,3.08949937008161,-299.2388,2.9375,3.2751,2.6356871964132695,2.198748064463815,4.834493050983372
MolQedWeightsMax,0.93616,0.6479070820470256,0.00075,0.71319,0.02043,-0.8766138611921954,0.2115847223945403,0.04476809475077468
MolQedWeightsMean,0.94843,0.6566524180024452,0.00137,0.71064,0.02221,-0.8926291753453827,0.20588189405857377,0.04238735430114579
MolQedWeightsNone,0.96656,0.6875737345106927,0.00374,0.73677,0.02548,-1.0529342311055228,0.19462618618714464,0.037879352349753086
MolRefractivity,2037.1876,92.38144064695392,0.0,86.5322,114.1262,5.026682283198855,31.11344935530028,968.0467307848353
MolFractionCSP3,1.0,0.4204306498502732,0.0,0.4,0.5,0.44885033656873496,0.23474009728782114,0.05510291327469573
MolHydrophilicityFactor,22.21723,-3.323903352590583,-8.80703,-3.34358,-3.24145,-0.2674954538025752,0.524833544561187,0.27545024949665947
MolUnsaturationIndex,8.676,3.452302065736463,0.0,3.7,3.0,-1.2828774306797173,0.9050506241127085,0.8191166322068033
MolFpDensityMorgan1,2.5,1.2016318155144565,0.01316,1.21739,1.0,-0.7483705350446376,0.2338296393270862,0.05467630022783522
MolFpDensityMorgan3,4.16667,2.537037958968199,0.02,2.58333,2.5,-1.5772605692608554,0.36093715483572697,0.13027562974090953
MolTPSA,3637.0,65.71833581334464,0.0,62.95,12.03,4.842624051481363,34.41724680274862,1184.54687748131
NumRadicalElectrons,1308.0,0.010729683809531236,0.0,0.0,0.0,1426.1045870780595,0.5890678003993112,0.34700087346728276
NumValenceElectrons,3798.0,126.39700853617762,2.0,118.0,106.0,5.518018467667858,41.35817638517401,1710.498753907165
NumHydrogenAtoms,582.0,21.457641765176646,0.0,20.0,20.0,5.523819818541446,9.846748520491024,96.95845642579216
NumHalogenAtoms,252.0,0.7071202560950764,0.0,0.0,0.0,9.629035719439882,1.2581744494040108,1.5830029451330858
NumHeteroAtoms,444.0,6.125054709714398,0.0,6.0,6.0,5.737304840840114,2.6835761522219364,7.201580964774293
NumBridgeheadAtoms,80.0,0.06781457963931067,0.0,0.0,0.0,16.086714059662565,0.5270855910601927,0.2778192203032727
NumSpiroAtoms,261.0,0.02220787936861334,0.0,0.0,0.0,438.280920148767,0.22877979545257762,0.052340194807323256
NumAllAtoms,987.0,45.10658134713107,2.0,43.0,40.0,5.804780621838583,16.296347723308624,265.57094911898616
NumRings,300.0,2.6055139593846777,0.0,2.0,2.0,6.3339646512613585,1.3750651168071224,1.8908040754597852
NumAromaticRings,68.0,1.7959709036923819,0.0,2.0,2.0,2.765240105809472,1.224458040124878,1.499297492026457
NumSaturatedRings,300.0,0.6167644211882803,0.0,0.0,0.0,15.29010295571424,0.8909127823998679,0.7937255858434745
NumAliphaticRings,300.0,0.809543055692296,0.0,1.0,0.0,11.827509545446521,0.981976390592586,0.9642776316812431
NumAromaticBonds,408.0,10.180400348387563,0.0,11.0,6.0,2.424685231997447,6.776684128038758,45.92344777121242
NumAmideBonds,75.0,0.6837008428951454,0.0,0.0,0.0,2.2926136509932213,0.87654292925154,0.7683275068208703
NumHeteroCycles,66.0,1.2118469804624177,0.0,1.0,1.0,2.139061292140814,1.0129765638973784,1.0261215190053397
NumAliphaticCarbocycles,300.0,0.2676296876111862,0.0,0.0,0.0,31.400504536475214,0.6714574462302141,0.4508551020980009
NumAliphaticHeterocycles,66.0,0.5419133680811098,0.0,0.0,0.0,4.521802540309542,0.7467133558292199,0.5575808357737353
NumAromaticCarbocycles,68.0,1.1260372913110739,0.0,1.0,1.0,3.4273882229129056,1.0504121026573956,1.103365585409131
NumAromaticHeterocycles,42.0,0.669933612381308,0.0,1.0,0.0,1.2902752896033411,0.7885150037463193,0.621755911133058
NumSaturatedCarbocycles,300.0,0.20730814558194077,0.0,0.0,0.0,43.672611897431054,0.5950944735076801,0.35413743239938295
NumSaturatedHeterocycles,66.0,0.4094562756063396,0.0,0.0,0.0,5.6345224139291155,0.6707301206321641,0.44987889472323733
NumAtomStereoCenters,339.0,0.8849812939078966,0.0,1.0,0.0,10.110217661955769,1.3646679115096734,1.8623185087041736
NumUnspecifiedAtomStereoCenters,312.0,0.5569000525408215,0.0,0.0,0.0,14.707997581277459,0.9631418986785693,0.9276423169901593
NumCarbonAtoms,458.0,17.52388487224002,0.0,16.0,15.0,4.595957419998074,6.711331928279403,45.041976251542536
NumFluorineAtoms,252.0,0.3615689478871084,0.0,0.0,0.0,14.410756943260491,1.0849216666970698,1.177055022868748
